gate,run,num_qubits,depth,size,exec_time_sec,error_rate,fidelity,energy_consumption_mJ,quantum_volume,depolarization_rate,noise_rate,noise_model_used
H,1,1,2,2,0.00235581398010253,0.5029296875,0.4970703125,1,2,0.05,0.05,Yes
H,2,1,2,2,0.00221228599548339,0.5009765625,0.4990234375,1,2,0.05,0.05,Yes
H,3,1,2,2,0.00221920013427734,0.4951171875,0.5048828125,1,2,0.05,0.05,Yes
H,4,1,2,2,0.00220298767089843,0.470703125,0.529296875,1,2,0.05,0.05,Yes
H,5,1,2,2,0.00232720375061035,0.5126953125,0.4873046875,1,2,0.05,0.05,Yes
H,6,1,2,2,0.00228071212768554,0.49609375,0.50390625,1,2,0.05,0.05,Yes
H,7,1,2,2,0.00215363502502441,0.5,0.5,1,2,0.05,0.05,Yes
H,8,1,2,2,0.002288818359375,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,9,1,2,2,0.00224804878234863,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,10,1,2,2,0.00222659111022949,0.5078125,0.4921875,1,2,0.05,0.05,Yes
H,11,1,2,2,0.00225067138671875,0.4873046875,0.5126953125,1,2,0.05,0.05,Yes
H,12,1,2,2,0.002166748046875,0.4814453125,0.5185546875,1,2,0.05,0.05,Yes
H,13,1,2,2,0.00222945213317871,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,14,1,2,2,0.00223708152770996,0.49609375,0.50390625,1,2,0.05,0.05,Yes
H,15,1,2,2,0.00219583511352539,0.525390625,0.474609375,1,2,0.05,0.05,Yes
H,16,1,2,2,0.0022594928741455,0.5087890625,0.4912109375,1,2,0.05,0.05,Yes
H,17,1,2,2,0.00223302841186523,0.533203125,0.466796875,1,2,0.05,0.05,Yes
H,18,1,2,2,0.00230836868286132,0.494140625,0.505859375,1,2,0.05,0.05,Yes
H,19,1,2,2,0.00222492218017578,0.4990234375,0.5009765625,1,2,0.05,0.05,Yes
H,20,1,2,2,0.0023193359375,0.4697265625,0.5302734375,1,2,0.05,0.05,Yes
H,21,1,2,2,0.0022902488708496,0.5048828125,0.4951171875,1,2,0.05,0.05,Yes
H,22,1,2,2,0.00235295295715332,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,23,1,2,2,0.00223159790039062,0.490234375,0.509765625,1,2,0.05,0.05,Yes
H,24,1,2,2,0.00223255157470703,0.505859375,0.494140625,1,2,0.05,0.05,Yes
H,25,1,2,2,0.00234794616699218,0.5107421875,0.4892578125,1,2,0.05,0.05,Yes
H,26,1,2,2,0.00231051445007324,0.4892578125,0.5107421875,1,2,0.05,0.05,Yes
H,27,1,2,2,0.00228595733642578,0.4990234375,0.5009765625,1,2,0.05,0.05,Yes
H,28,1,2,2,0.00227832794189453,0.505859375,0.494140625,1,2,0.05,0.05,Yes
H,29,1,2,2,0.00224566459655761,0.515625,0.484375,1,2,0.05,0.05,Yes
H,30,1,2,2,0.0022134780883789,0.486328125,0.513671875,1,2,0.05,0.05,Yes
H,31,1,2,2,0.00225234031677246,0.5283203125,0.4716796875,1,2,0.05,0.05,Yes
H,32,1,2,2,0.00222706794738769,0.50390625,0.49609375,1,2,0.05,0.05,Yes
H,33,1,2,2,0.00228285789489746,0.5,0.5,1,2,0.05,0.05,Yes
H,34,1,2,2,0.00222992897033691,0.4755859375,0.5244140625,1,2,0.05,0.05,Yes
H,35,1,2,2,0.00223875045776367,0.4794921875,0.5205078125,1,2,0.05,0.05,Yes
H,36,1,2,2,0.00226664543151855,0.515625,0.484375,1,2,0.05,0.05,Yes
H,37,1,2,2,0.00226426124572753,0.51171875,0.48828125,1,2,0.05,0.05,Yes
H,38,1,2,2,0.00236678123474121,0.490234375,0.509765625,1,2,0.05,0.05,Yes
H,39,1,2,2,0.00231146812438964,0.533203125,0.466796875,1,2,0.05,0.05,Yes
H,40,1,2,2,0.00228691101074218,0.494140625,0.505859375,1,2,0.05,0.05,Yes
H,41,1,2,2,0.00235962867736816,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,42,1,2,2,0.00230860710144042,0.5009765625,0.4990234375,1,2,0.05,0.05,Yes
H,43,1,2,2,0.00222325325012207,0.505859375,0.494140625,1,2,0.05,0.05,Yes
H,44,1,2,2,0.00220990180969238,0.513671875,0.486328125,1,2,0.05,0.05,Yes
H,45,1,2,2,0.00224566459655761,0.5,0.5,1,2,0.05,0.05,Yes
H,46,1,2,2,0.00408673286437988,0.5009765625,0.4990234375,1,2,0.05,0.05,Yes
H,47,1,2,2,0.00230693817138671,0.513671875,0.486328125,1,2,0.05,0.05,Yes
H,48,1,2,2,0.00233149528503417,0.525390625,0.474609375,1,2,0.05,0.05,Yes
H,49,1,2,2,0.00223445892333984,0.4833984375,0.5166015625,1,2,0.05,0.05,Yes
H,50,1,2,2,0.00241398811340332,0.52734375,0.47265625,1,2,0.05,0.05,Yes
H,51,1,2,2,0.00231313705444335,0.5,0.5,1,2,0.05,0.05,Yes
H,52,1,2,2,0.00235152244567871,0.4990234375,0.5009765625,1,2,0.05,0.05,Yes
H,53,1,2,2,0.00223684310913085,0.5,0.5,1,2,0.05,0.05,Yes
H,54,1,2,2,0.00229477882385253,0.5,0.5,1,2,0.05,0.05,Yes
H,55,1,2,2,0.0022587776184082,0.498046875,0.501953125,1,2,0.05,0.05,Yes
H,56,1,2,2,0.00223183631896972,0.4990234375,0.5009765625,1,2,0.05,0.05,Yes
H,57,1,2,2,0.00275564193725585,0.482421875,0.517578125,1,2,0.05,0.05,Yes
H,58,1,2,2,0.00231194496154785,0.4912109375,0.5087890625,1,2,0.05,0.05,Yes
H,59,1,2,2,0.002213716506958,0.5068359375,0.4931640625,1,2,0.05,0.05,Yes
H,60,1,2,2,0.00217199325561523,0.4921875,0.5078125,1,2,0.05,0.05,Yes
H,61,1,2,2,0.0023810863494873,0.5224609375,0.4775390625,1,2,0.05,0.05,Yes
H,62,1,2,2,0.00226974487304687,0.482421875,0.517578125,1,2,0.05,0.05,Yes
H,63,1,2,2,0.00237321853637695,0.525390625,0.474609375,1,2,0.05,0.05,Yes
H,64,1,2,2,0.00237107276916503,0.482421875,0.517578125,1,2,0.05,0.05,Yes
H,65,1,2,2,0.00232195854187011,0.486328125,0.513671875,1,2,0.05,0.05,Yes
H,66,1,2,2,0.00223851203918457,0.517578125,0.482421875,1,2,0.05,0.05,Yes
H,67,1,2,2,0.00218820571899414,0.4833984375,0.5166015625,1,2,0.05,0.05,Yes
H,68,1,2,2,0.0023500919342041,0.4912109375,0.5087890625,1,2,0.05,0.05,Yes
H,69,1,2,2,0.00231051445007324,0.515625,0.484375,1,2,0.05,0.05,Yes
H,70,1,2,2,0.0023055076599121,0.474609375,0.525390625,1,2,0.05,0.05,Yes
H,71,1,2,2,0.00236487388610839,0.478515625,0.521484375,1,2,0.05,0.05,Yes
H,72,1,2,2,0.00231742858886718,0.51171875,0.48828125,1,2,0.05,0.05,Yes
H,73,1,2,2,0.00238490104675292,0.5302734375,0.4697265625,1,2,0.05,0.05,Yes
H,74,1,2,2,0.0023655891418457,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,75,1,2,2,0.0022432804107666,0.4794921875,0.5205078125,1,2,0.05,0.05,Yes
H,76,1,2,2,0.01540207862854,0.5048828125,0.4951171875,1,2,0.05,0.05,Yes
H,77,1,2,2,0.00471925735473632,0.5146484375,0.4853515625,1,2,0.05,0.05,Yes
H,78,1,2,2,0.0111961364746093,0.4912109375,0.5087890625,1,2,0.05,0.05,Yes
H,79,1,2,2,0.00290465354919433,0.4951171875,0.5048828125,1,2,0.05,0.05,Yes
H,80,1,2,2,0.0145313739776611,0.4931640625,0.5068359375,1,2,0.05,0.05,Yes
H,81,1,2,2,0.0147366523742675,0.501953125,0.498046875,1,2,0.05,0.05,Yes
H,82,1,2,2,0.0151994228363037,0.5,0.5,1,2,0.05,0.05,Yes
